"","V2","V3","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"TCGA-3C-AAAU-01",132.95,0,0.00297548396273168,0.0131982488867172,0.026697595425228,-0.024316690648664,0.0598744574716642,0.0335361910118128,0.0431894801585067,0.0676262369232385,2.60644010300605e-05,0.025469079011264,0.0802701588523111,-0.000600642567751113,0.0737317652364009,0.0867907323737644,0.0796340870534986,0.039276363097862,0.0215974853865045
"TCGA-3C-AALI-01",131.57,0,-0.00638555887769998,0.0061486969906025,0.0174929563779955,0.00383234333449689,0.0557570482896857,-0.0130707874270963,0.0120276191294255,0.0826448400590528,-0.0509448049925639,0.00995879159803434,0.0508430491769187,-0.0324558448664286,0.0258726255828507,-0.0391602166120239,0.0488268386677084,0.0720090444532298,-0.00824925234693118
"TCGA-3C-AALJ-01",48.42,0,-0.00148528019874938,-0.022645001103515,0.00654434631302962,0.0381391823863508,0.016062664226815,-0.0093145468818287,0.0344735831789861,0.0936020410862445,0.0440455945499635,-0.00506991205792706,-0.0268634671815588,0.0241101341431872,-0.028019529503989,-0.00744275302699371,0.0761846315265378,-0.0310479888282552,0.0226967070434892
"TCGA-3C-AALK-01",47.57,0,-0.015757855372913,-0.0252880410552338,0.00613772435663182,0.0387686764014506,-0.0258291291694121,0.00565452816643025,0.0172642335796421,0.0968499358008209,0.0160709242027292,-0.0201321651516571,-0.0203179886113268,-0.0037033058137051,-0.00522463080502568,-0.0110099280406026,0.0771275208614002,0.0193798911045325,0.00306771018529091
"TCGA-4H-AAAK-01",11.43,0,-0.0106286483769424,-0.00484652339511174,0.0236061390041904,-0.00620883545295596,-0.0010746867443521,0.00862971701017774,0.0103187536974188,0.0757040009681495,-0.000114816363971784,-0.0121007208668906,-0.00670161078861686,-0.00543016777378141,0.0183600229732253,0.00685672877396863,0.0583933527167964,-0.0375423933137582,0.00412669189322249
"TCGA-5L-AAT0-01",48.52,0,0.0135594127983274,0.01177697866009,-0.00199530049439604,-0.016792423299122,0.00108193558831119,0.00543083005751572,0.0212901206561757,0.0943250199124483,0.0239067829277049,-0.0152787725653891,-0.0248686043849688,0.010185426508778,0.0127934760311947,-0.0136387961584776,0.0695032196491701,0.011625164250131,0.0296105870202599
"TCGA-5L-AAT1-01",48.32,0,-0.00232993145111817,-0.011237774373982,0.0164157504463106,0.0109432289884812,-0.00672905107613866,-0.0380823793286575,-0.0149269572939722,0.109126212300305,0.0131462462412725,-0.0172690459571123,0.00794175372361598,0.0010722867598975,0.0101141808771153,0.0345141683904523,0.0602719161090035,0.00721389808817302,-0.0108882726656446
"TCGA-5T-A9QA-01",9.95,0,-0.0703138497726975,-0.0582026323919944,0.0347699810442075,0.115452577256743,-0.0621888966387383,-0.005468142948841,-0.000465853745016616,0.00457800181826218,-0.0342412888039535,-0.0287959304609447,-0.0439470273643868,-0.0517763237777535,-0.0606651836613472,-0.0307179569001023,0.0324032214183068,-0.0340026025489148,-0.0556076986413196
"TCGA-A1-A0SB-01",8.51,0,0.13130018230642,0.00557464697659524,-0.0458415462496931,-0.0600826898451489,-0.0318789040219244,0.0884121113531825,0.0315581825552077,0.0250880732766892,0.0806993366330866,-0.0308116098047189,-0.0521529199279816,0.0829427183387071,0.0112712456458945,-0.0409918716163303,0.0218692753507105,-0.0484255188941088,0.120476558790056
"TCGA-A1-A0SE-01",43.4,0,-0.0163171396489689,0.00199750779248463,-0.00447299944040701,-0.0147076347142118,0.0127076279777234,0.0153012651855785,-0.0041741151746339,-0.00457512750864039,-0.019846101354522,-0.0268255373827531,-0.0173783239118292,-0.023199653283396,0.0337788525080743,0.00344802868936614,0.00650501603906583,0.0158340933168053,-0.0143784379867784
